,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
0,84259.5,282.5,282.5,0.0,0.0,0.0,0.0,15458.0,0.0,0.0
1,83679.5,368.5,368.5,0.0,0.0,0.0,0.0,15957.0,5.0,0.0
2,83094.5,468.0,468.0,0.0,0.0,0.0,0.0,16454.0,16.5,0.0
3,82485.5,591.0,591.0,0.0,0.0,0.0,0.0,16953.5,30.0,0.0
4,81826.5,776.5,771.5,0.0,0.0,0.0,0.0,17449.5,47.5,0.0
5,81127.0,1014.0,997.5,0.0,0.0,0.0,0.0,17943.0,67.5,0.0
6,80419.0,1262.0,1232.0,38.0,325.5,0.0,0.0,18437.5,88.5,0.0
7,79721.5,1497.5,1445.0,50.0,401.5,0.0,0.0,18933.5,100.0,0.0
8,79018.5,1740.5,1656.5,66.0,495.0,0.0,0.0,19427.0,102.0,0.0
9,78273.5,2043.5,1925.0,79.0,645.0,0.0,0.0,19919.0,117.5,0.0
10,77510.0,2360.0,2207.5,98.5,831.5,0.0,0.0,20412.5,130.0,0.0
11,76747.5,2684.5,2498.5,117.0,1026.5,0.0,0.0,20902.0,148.0,0.0
12,75986.0,3015.5,2779.5,138.0,1207.0,0.0,0.0,21389.5,155.0,0.0
13,75194.0,3389.5,2753.5,122.0,1069.0,10.0,353.5,21872.5,173.5,0.0
14,74413.0,3754.5,2980.0,140.5,1215.5,11.0,440.5,22359.0,192.5,0.0
15,73604.0,4154.5,3215.0,151.5,1365.0,12.5,548.5,22842.5,210.0,0.0
16,72801.5,4540.0,3373.0,166.5,1460.0,13.0,711.0,23319.0,204.5,0.0
17,71989.5,4956.0,3513.0,176.0,1518.5,13.5,916.5,23797.5,216.5,0.0
18,71156.0,5395.5,3665.5,186.0,1604.0,14.5,1129.0,24276.5,227.0,0.0
19,70343.0,5822.5,3832.5,198.0,1685.0,15.5,1329.5,24748.0,253.0,0.0
20,69517.5,6256.5,3965.5,213.0,1786.0,6.5,1543.0,25219.0,250.0,5.0
21,68690.5,6711.0,4082.0,214.0,1858.0,6.5,1795.5,25685.5,259.0,5.5
22,67849.0,7182.0,4197.5,221.5,1914.0,6.5,2064.5,26155.5,273.0,6.5
23,67019.0,7647.0,4309.5,225.5,1991.5,6.0,2337.5,26614.5,287.5,7.0
24,66236.5,8068.0,4362.0,232.0,2052.5,5.5,2612.0,27077.5,295.0,7.0
25,65422.0,8534.5,4419.5,234.5,2095.5,5.0,2921.0,27537.5,307.5,7.5
26,64587.0,9016.5,4513.0,240.0,2156.0,5.0,3215.0,27997.5,320.5,8.0
27,63801.0,9466.5,4536.0,231.5,2210.5,5.0,3540.0,28448.0,333.5,8.5
28,62997.5,9935.0,4567.5,235.5,2251.5,6.0,3865.0,28900.5,339.0,8.5
29,62202.0,10393.5,4586.0,233.5,2239.5,6.5,4197.5,29353.0,347.5,9.0
30,61408.0,10860.5,4584.5,235.0,2238.0,7.0,4551.5,29802.5,355.5,9.0
31,60628.0,11311.5,4578.5,236.0,2270.5,9.0,4891.0,30253.0,359.5,9.0
32,59878.0,11705.0,4503.0,237.0,2250.5,10.0,5244.5,30708.5,343.0,9.0
33,59119.5,12132.0,4446.0,226.5,2251.5,9.0,5605.5,31153.0,333.5,9.5
34,58373.0,12562.0,4383.0,232.5,2217.0,9.0,5976.5,31591.5,334.0,10.0
35,57660.5,12964.5,4315.5,237.5,2185.5,9.0,6347.0,32023.5,357.0,10.5
36,56930.5,13383.0,4300.5,236.0,2197.0,8.0,6667.5,32453.5,362.5,10.5
37,56233.5,13773.0,4215.0,232.0,2141.0,9.0,7020.5,32879.5,359.5,11.0
38,55547.5,14154.0,4098.5,225.5,2086.5,8.5,7394.5,33310.0,363.0,12.5
39,54848.5,14530.0,4019.5,223.0,2061.5,7.5,7730.0,33742.5,354.0,13.5
40,54167.0,14887.0,3906.5,223.5,1990.5,7.5,8081.0,34171.0,339.0,13.5
41,53495.5,15228.0,3781.0,222.5,1948.5,9.5,8421.0,34604.5,314.5,14.5
42,52844.5,15561.0,3659.0,205.0,1892.5,8.5,8766.0,35035.0,314.5,15.0
43,52206.5,15889.5,3553.0,199.0,1824.5,7.5,9096.5,35457.0,320.0,15.0
44,51557.0,16233.0,3499.5,195.0,1800.5,6.0,9392.5,35874.5,326.5,15.0
45,50909.0,16559.5,3401.0,186.0,1748.5,4.5,9707.5,36299.5,315.0,15.5
46,50298.5,16862.5,3287.0,182.0,1684.5,5.0,10015.0,36716.0,306.5,15.5
47,49687.0,17162.5,3200.0,184.5,1625.0,6.0,10294.5,37131.5,293.5,15.5
48,49069.0,17452.0,3090.5,168.0,1560.5,5.0,10593.5,37562.5,289.5,17.5
49,48482.0,17723.5,2989.5,169.0,1524.5,4.5,10864.5,37975.0,277.5,18.0
50,47894.5,17988.0,2904.0,166.5,1500.0,4.5,11120.0,38406.0,281.5,18.0
51,47330.0,18241.0,2797.5,160.0,1442.0,5.5,11385.5,38824.5,280.0,18.0
52,46754.0,18492.5,2708.5,158.5,1396.0,7.0,11637.0,39256.0,285.0,18.0
53,46179.5,18744.5,2621.0,155.5,1354.5,6.0,11877.5,39683.5,276.0,18.5
54,45614.5,18995.5,2557.0,145.0,1324.0,7.0,12100.0,40105.5,271.0,18.5
55,45057.5,19235.0,2482.0,143.5,1272.5,5.5,12320.5,40534.0,265.0,18.5
56,44532.0,19459.0,2380.0,140.0,1200.5,5.0,12557.0,40943.0,256.5,18.5
57,43991.0,19678.0,2284.0,137.5,1132.0,6.0,12784.5,41364.5,243.0,18.5
58,43465.0,19882.5,2198.0,130.5,1099.5,5.5,12987.0,41789.5,234.5,18.5
59,42948.0,20069.5,2098.0,128.5,1059.5,5.0,13192.5,42215.5,221.5,19.0
60,42432.0,20271.5,2030.5,122.5,1021.5,5.0,13388.0,42632.5,221.5,19.0
61,41925.5,20461.0,1956.5,116.5,988.0,3.5,13571.5,43060.5,217.5,19.5
62,41418.0,20640.5,1901.5,111.0,972.5,3.0,13737.5,43494.0,215.5,20.0
63,40909.5,20814.0,1841.0,102.0,946.0,3.5,13897.5,43931.0,208.0,20.0
64,40418.0,20968.0,1761.0,94.0,915.5,2.5,14055.0,44365.5,188.0,21.0
65,39930.0,21132.5,1696.5,92.5,882.5,2.0,14218.0,44797.5,186.0,21.0
66,39458.0,21271.0,1604.0,85.0,840.5,1.0,14382.0,45229.0,180.0,21.5
67,38968.0,21423.0,1549.5,81.0,806.5,1.5,14533.0,45675.0,183.5,21.5
68,38501.0,21546.5,1465.5,74.5,777.0,1.0,14676.5,46115.0,166.0,21.5
69,38036.0,21684.5,1398.5,77.0,728.0,1.5,14821.0,46555.5,166.0,21.5
70,37560.5,21823.0,1353.0,78.5,702.0,1.5,14946.0,46998.0,162.0,21.5
71,37098.0,21936.5,1301.0,71.0,668.5,1.5,15065.0,47451.0,161.0,21.5
72,36639.0,22055.5,1232.0,69.0,635.5,2.0,15192.5,47900.5,147.5,21.5
73,36201.0,22175.5,1183.0,67.5,600.0,2.0,15306.5,48343.5,151.5,21.5
74,35755.0,22296.0,1144.0,66.5,565.0,1.5,15420.5,48788.0,156.5,21.5
75,35306.0,22413.5,1107.5,68.0,540.0,1.5,15527.5,49240.5,154.5,21.5
76,34869.0,22519.0,1055.0,62.0,515.5,1.0,15626.5,49684.5,138.5,21.5
77,34430.5,22625.5,1010.0,53.5,495.5,0.5,15727.5,50134.5,131.5,21.5
78,33993.0,22735.5,997.0,54.0,478.0,0.5,15805.5,50589.5,132.0,21.5
79,33567.5,22835.5,960.5,52.5,456.5,0.0,15899.0,51048.0,136.0,21.5
80,33136.0,22935.0,939.5,52.0,452.5,0.0,15976.0,51505.5,137.0,21.5
81,32691.5,23039.0,920.5,47.0,442.5,0.0,16053.5,51964.5,134.0,21.5
82,32245.5,23141.0,892.0,46.0,423.0,0.0,16137.0,52430.0,129.5,21.5
83,31804.5,23236.0,874.5,46.0,419.5,0.0,16205.0,52899.5,122.5,21.5
84,31371.0,23333.5,857.5,48.0,398.5,0.0,16277.0,53364.0,120.0,21.5
85,30932.5,23424.5,845.0,47.5,393.0,0.0,16338.0,53825.0,116.5,21.5
86,30510.5,23513.0,826.5,45.5,386.5,0.5,16407.5,54290.5,116.0,21.5
87,30094.0,23603.0,804.0,42.5,376.5,0.5,16480.0,54752.5,115.0,21.5
